"Gruppe";"KommuneNr";"KV2005 - Stemmeberettigede";"KV2005 - Afgivne stemmer"
"101047";"101";"40676";"235855"
"147003";"147";"35074";"43316"
"151005";"151";"35657";"24441"
"153004";"153";"26365";"16103"
"155002";"155";"10036";"7802"
"157001";"157";"25655";"35863"
"159011";"159";"47197";"31301"
"161006";"161";"16366";"10430"
"163005";"163";"20828";"13980"
"165002";"165";"20593";"13559"
"167002";"167";"38453";"24507"
"169007";"169";"35114";"22947"
"171002";"171";"7751";"6262"
"173004";"173";"40365";"27678"
"175002";"175";"28571";"18277"
"181011";"181";"24159";"18480"
"183001";"183";"15434";"9665"
"185006";"185";"30969";"19301"
"187002";"187";"9383";"6895"
"189001";"189";"13804";"11762"
"201001";"201";"16993";"13223"
"205001";"205";"16535";"12481"
"207001";"207";"13644";"10691"
"208001";"208";"15040";"10796"
"209006";"209";"14457";"10363"
"211005";"211";"15994";"9917"
"213002";"213";"16202";"11296"
"215003";"215";"14757";"10505"
"217007";"217";"47084";"31094"
"219003";"219";"29297";"21663"
"221001";"221";"7756";"4340"
"223001";"223";"18568";"13402"
"225004";"225";"7293";"5472"
"227007";"227";"14116";"9815"
"229001";"229";"5368";"3798"
"231004";"231";"4500";"3396"
"233002";"233";"5949";"4251"
"235005";"235";"9943";"7846"
"237001";"237";"11301";"8233"
"251001";"251";"7199";"5435"
"253009";"253";"35886";"24706"
"255001";"255";"11642";"8561"
"257001";"257";"5828";"4459"
"259011";"259";"30768";"21335"
"261002";"261";"6574";"5218"
"263004";"263";"6895";"5517"
"265002";"265";"42646";"29845"
"267001";"267";"11175";"8119"
"269005";"269";"15499";"10730"
"271001";"271";"8025";"5543"
"301001";"301";"6161";"4128"
"303002";"303";"5669";"3836"
"305003";"305";"10720";"7497"
"307003";"307";"4932";"3373"
"309004";"309";"5130";"3612"
"311003";"311";"5034";"2343"
"313001";"313";"11142";"7911"
"315002";"315";"27541";"18521"
"317002";"317";"4160";"2944"
"319007";"319";"6346";"4479"
"321003";"321";"4487";"3143"
"323004";"323";"15891";"10840"
"325001";"325";"16176";"8491"
"327001";"327";"6300";"4438"
"329013";"329";"23563";"16103"
"331006";"331";"9242";"3400"
"333007";"333";"28889";"13952"
"335003";"335";"11894";"8931"
"337004";"337";"4234";"3013"
"339003";"339";"4991";"3488"
"341006";"341";"6788";"4950"
"343006";"343";"9034";"6362"
"345004";"345";"7327";"5258"
"351002";"351";"9697";"6792"
"353004";"353";"5806";"4243"
"355004";"355";"3155";"2331"
"357001";"357";"5682";"4069"
"359004";"359";"3170";"2314"
"361006";"361";"4886";"3726"
"363001";"363";"8828";"6448"
"365003";"365";"9170";"6668"
"367004";"367";"11854";"8504"
"369002";"369";"20421";"14416"
"371002";"371";"4296";"3244"
"373022";"373";"38362";"25838"
"375005";"375";"7527";"5197"
"377002";"377";"5941";"4460"
"379008";"379";"4411";"3240"
"381005";"381";"2722";"2066"
"383001";"383";"5175";"3632"
"385002";"385";"5508";"3915"
"387006";"387";"7453";"5503"
"389005";"389";"8923";"6565"
"391001";"391";"5331";"3949"
"393004";"393";"6537";"4779"
"395004";"395";"5680";"4463"
"397009";"397";"16190";"10675"
"400001";"400";"34153";"26642"
"421002";"421";"8463";"6106"
"423003";"423";"5010";"3719"
"425002";"425";"4837";"3542"
"427004";"427";"6749";"5168"
"429009";"429";"7731";"3805"
"431009";"431";"13546";"9710"
"433004";"433";"4457";"3364"
"435004";"435";"4865";"3801"
"437001";"437";"3850";"2865"
"439010";"439";"8440";"6716"
"441003";"441";"4763";"3614"
"443001";"443";"2616";"2119"
"445005";"445";"15770";"5468"
"447001";"447";"4411";"3314"
"449004";"449";"15109";"10834"
"451003";"451";"4160";"2510"
"461035";"461";"44251";"92403"
"471010";"471";"8457";"6438"
"473003";"473";"8592";"6068"
"475005";"475";"5344";"3992"
"477003";"477";"5210";"3614"
"479001";"479";"33960";"23896"
"481004";"481";"3307";"2628"
"483005";"483";"8536";"6501"
"485004";"485";"5787";"4465"
"487003";"487";"2873";"2142"
"489004";"489";"3854";"3036"
"491001";"491";"4550";"3211"
"493004";"493";"3032";"2446"
"495002";"495";"5158";"3865"
"497001";"497";"6920";"5275"
"499004";"499";"4042";"3057"
"501002";"501";"4925";"4049"
"503005";"503";"7807";"5196"
"505003";"505";"2724";"2078"
"507001";"507";"4744";"3704"
"509010";"509";"5915";"4165"
"511004";"511";"3747";"2813"
"513002";"513";"5627";"4191"
"515005";"515";"25648";"17358"
"517004";"517";"2128";"1624"
"519002";"519";"4553";"3385"
"521005";"521";"5116";"3663"
"523002";"523";"10695";"8568"
"525005";"525";"5995";"4508"
"527008";"527";"8239";"1406"
"529005";"529";"8684";"7100"
"531061";"531";"5558";"3901"
"533004";"533";"3889";"3051"
"535003";"535";"4938";"3873"
"537005";"537";"23947";"17353"
"539006";"539";"7567";"5393"
"541005";"541";"9435";"6823"
"543002";"543";"13726";"10024"
"545005";"545";"17294";"12935"
"551003";"551";"6422";"4654"
"553003";"553";"4765";"2970"
"555003";"555";"3249";"1915"
"557040";"557";"9934";"7037"
"559001";"559";"4878";"1581"
"561005";"561";"63854";"40637"
"563002";"563";"2499";"2033"
"565004";"565";"13173";"9275"
"567004";"567";"5658";"4158"
"569001";"569";"5232";"869"
"571001";"571";"13743";"9880"
"573009";"573";"15459";"9273"
"575008";"575";"12711";"4445"
"577007";"577";"8298";"2235"
"601004";"601";"6052";"4594"
"603003";"603";"8759";"6740"
"605005";"605";"10182";"7579"
"607008";"607";"38013";"24857"
"609001";"609";"7647";"5691"
"611004";"611";"10444";"7525"
"613005";"613";"12401";"9414"
"615008";"615";"46142";"31016"
"617002";"617";"4107";"3270"
"619004";"619";"12002";"8936"
"621004";"621";"50307";"33390"
"623001";"623";"4024";"2889"
"625005";"625";"5444";"3346"
"627002";"627";"8284";"6215"
"629002";"629";"5578";"4179"
"631001";"631";"44530";"30552"
"651003";"651";"4978";"3874"
"653001";"653";"6745";"1893"
"655007";"655";"7018";"2485"
"657009";"657";"45595";"33099"
"659002";"659";"3970";"528"
"661005";"661";"31564";"21864"
"663002";"663";"17451";"10554"
"665002";"665";"13512";"8242"
"667010";"667";"13279";"4915"
"669006";"669";"9718";"6423"
"671009";"671";"14507";"7515"
"673001";"673";"3424";"2791"
"675003";"675";"2768";"1361"
"677005";"677";"7142";"5519"
"679003";"679";"5322";"3740"
"681007";"681";"8873";"2484"
"683004";"683";"6059";"4664"
"685004";"685";"5156";"3870"
"701003";"701";"11903";"8373"
"703001";"703";"8059";"6101"
"705005";"705";"6014";"4338"
"707002";"707";"14658";"5769"
"709004";"709";"10371";"7630"
"711007";"711";"8250";"6088"
"713001";"713";"8662";"6700"
"715001";"715";"6406";"4881"
"717003";"717";"4711";"3569"
"719003";"719";"5008";"2850"
"721001";"721";"5847";"4175"
"723004";"723";"7714";"5888"
"725007";"725";"5840";"3099"
"727010";"727";"16008";"11946"
"729010";"729";"6362";"4815"
"731010";"731";"52876";"34976"
"733001";"733";"7698";"5643"
"735004";"735";"6175";"3984"
"737004";"737";"8189";"6413"
"739001";"739";"5349";"4049"
"741002";"741";"3318";"2603"
"743001";"743";"42401";"27325"
"745001";"745";"17225";"12364"
"747004";"747";"3007";"2016"
"749002";"749";"5246";"3750"
"751063";"751";"65087";"153219"
"761004";"761";"10504";"7298"
"763003";"763";"6055";"4397"
"765001";"765";"4311";"3031"
"767001";"767";"5157";"3675"
"769001";"769";"5115";"3647"
"771002";"771";"10465";"7404"
"773010";"773";"17247";"13166"
"775003";"775";"6209";"4766"
"777001";"777";"4621";"2662"
"779001";"779";"21617";"12016"
"781009";"781";"5800";"2437"
"783002";"783";"4784";"1344"
"785004";"785";"8565";"6164"
"787014";"787";"22095";"14858"
"789004";"789";"6324";"4769"
"791001";"791";"34319";"24165"
"793004";"793";"4748";"3243"
"801003";"801";"6205";"3537"
"803003";"803";"6312";"794"
"805010";"805";"15387";"11017"
"807007";"807";"11489";"8520"
"809001";"809";"6145";"4433"
"811004";"811";"6320";"2226"
"813006";"813";"26387";"17108"
"815004";"815";"8559";"5853"
"817003";"817";"8822";"6434"
"819001";"819";"10748";"7488"
"821001";"821";"27096";"16682"
"823008";"823";"12200";"5074"
"825020";"825";"1726";"1355"
"827004";"827";"7763";"5598"
"829001";"829";"6748";"4630"
"831007";"831";"6320";"4709"
"833007";"833";"4002";"2905"
"835003";"835";"8272";"3226"
"837008";"837";"7059";"5057"
"839008";"839";"6983";"4706"
"841001";"841";"9287";"6023"
"843009";"843";"7349";"5782"
"845004";"845";"9664";"7275"
"847001";"847";"13805";"9910"
"849002";"849";"8497";"1530"
"851006";"851";"30246";"82242"
"861003";"861";"10053";"7484"
