post_merger_kommune,counselor_count
Aabenraa,85
Aalborg,82
Albertslund,21
Allerød,21
Assens,84
Ballerup,25
Billund,32
Bogense,47
Bornholm,77
Brøndby,19
Brønderslev-Dronninglund,42
Dragør,15
Egedal,45
Esbjerg,63
Faaborg-Midtfyn,85
Fanø,11
Favrskov,64
Faxe,47
Fredensborg,36
Fredericia,21
Frederiksberg,25
Frederikshavn,59
Frederikssund,56
Frederiksværk-Hundested,26
Furesø,34
Gentofte,17
Gladsaxe,25
Glostrup,17
Greve,21
Gribskov,36
Guldborgsund,96
Haderslev,55
Hedensted,57
Helsingør,25
Herlev,19
Herning,66
Hillerød,32
Hjørring,74
Holbæk,77
Holstebro,53
Horsens,55
Hvidovre,21
Høje-Tåstrup,21
Hørsholm,15
Ikast-Brande,49
Ishøj,17
Jammerbugt,68
Kalundborg,81
Kerteminde,43
Kolding,70
København,55
Køge,38
Langeland,41
Lejre,43
Lemvig,34
Lolland,107
Lyngby-Tårbæk,21
Læsø,9
Mariagerfjord,62
Middelfart,51
Morsø,21
Norddjurs,64
Nyborg,45
Næstved,79
Odder,19
Odense,29
Odsherred,53
Randers,72
Rebild,49
Ringkøbing-Skjern,87
Ringsted,21
Roskilde,55
Rudersdal,32
Rødovre,19
Samsø,13
Silkeborg,64
Skanderborg,62
Skive,64
Slagelse,68
Solrød,15
Sorø,45
Stevns,32
Struer,30
Svendborg,53
Syddjurs,62
Sønderborg,101
Thisted,53
Tårnby,17
Tønder,96
Vallensbæk,15
Varde,73
Vejen,68
Vejle,89
Vesthimmerland,68
Viborg,100
Vordingborg,66
Århus,31
Ærø,24
