name,href,amt,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year,corrected_name,normalized_name,post_merger_kommune
Herlev,k389163.htm,Københavns Amt,21081.0,84.55,17824.0,19,2001,Herlev,Herlev,Herlev
Ishøj,k389183.htm,Københavns Amt,15306.0,82.54,12634.0,17,2001,Ishøj,Ishøj,Ishøj
Høje-Taastrup,k389169.htm,Københavns Amt,34708.0,84.82,29442.0,21,2001,Høje-Tåstrup,Høje-Tåstrup,Høje-Tåstrup
Vallensbæk,k389187.htm,Københavns Amt,9448.0,89.3,8438.0,15,2001,Vallensbæk,Vallensbæk,Vallensbæk
Brøndby,k389153.htm,Københavns Amt,26317.0,82.33,21669.0,19,2001,Brøndby,Brøndby,Brøndby
Hvidovre,k389167.htm,Københavns Amt,38392.0,84.03,32263.0,21,2001,Hvidovre,Hvidovre,Hvidovre
Ledøje-Smørum,k389171.htm,Københavns Amt,7507.0,91.55,6873.0,15,2001,Ledøje-Smørum,Ledøje-Smørum,Egedal
Albertslund,k389165.htm,Københavns Amt,21424.0,84.98,18208.0,21,2001,Albertslund,Albertslund,Albertslund
Glostrup,k389161.htm,Københavns Amt,16288.0,85.77,13971.0,17,2001,Glostrup,Glostrup,Glostrup
Rødovre,k389175.htm,Københavns Amt,28792.0,84.5,24331.0,19,2001,Rødovre,Rødovre,Rødovre
Ballerup,k389151.htm,Københavns Amt,35672.0,87.31,31147.0,25,2001,Ballerup,Ballerup,Ballerup
Værløse,k389189.htm,Københavns Amt,13653.0,91.77,12530.0,15,2001,Værløse,Værløse,Furesø
Gladsaxe,k389159.htm,Københavns Amt,47701.0,85.36,40719.0,25,2001,Gladsaxe,Gladsaxe,Gladsaxe
Søllerød,k389181.htm,Københavns Amt,24283.0,89.74,21793.0,15,2001,Søllerød,Søllerød,Rudersdal
Lyngby-Taarbæk,k389173.htm,Københavns Amt,40534.0,86.0,34862.0,21,2001,Lyngby-Tårbæk,Lyngby-Tårbæk,Lyngby-Tårbæk
Gentofte,k389157.htm,Københavns Amt,52627.0,85.81,45161.0,17,2001,Gentofte,Gentofte,Gentofte
Frederiksberg Kommune (Udenfor amtsinddeling),k030147.htm,Københavns Amt,76670.0,82.57,63308.0,25,2001,Frederiksberg,Frederiksberg,Frederiksberg
Københavns Kommune (Udenfor amtsinddeling),k025101.htm,Københavns Amt,412673.0,75.87,313116.0,55,2001,København,København,København
Tårnby,k389185.htm,Københavns Amt,31168.0,85.13,26535.0,17,2001,Tårnby,Tårnby,Tårnby
Dragør,k389155.htm,Københavns Amt,9997.0,90.61,9059.0,15,2001,Dragør,Dragør,Dragør
Nexø,k429405.htm,Bornholms Amt,6686.0,85.68,5729.0,13,2001,Bornholm,Bornholm,Bornholm
Aakirkeby,k429409.htm,Bornholms Amt,5112.0,86.93,4444.0,17,2001,Bornholm,Bornholm,Bornholm
Allinge-Gudhjem,k429401.htm,Bornholms Amt,6013.0,85.21,5124.0,13,2001,Bornholm,Bornholm,Bornholm
Hasle,k429403.htm,Bornholms Amt,4915.0,87.3,4291.0,13,2001,Bornholm,Bornholm,Bornholm
Ølstykke,k400237.htm,Frederiksborg Amt,10708.0,90.27,9667.0,15,2001,Ølstykke,Ølstykke,Egedal
Slangerup,k400233.htm,Frederiksborg Amt,6457.0,89.25,5763.0,13,2001,Slangerup,Slangerup,Frederikssund
Frederikssund,k400209.htm,Frederiksborg Amt,13951.0,88.13,12296.0,15,2001,Frederikssund,Frederikssund,Frederikssund
Stenløse,k400235.htm,Frederiksborg Amt,9892.0,91.56,9058.0,15,2001,Stenløse,Stenløse,Egedal
Allerød,k400201.htm,Frederiksborg Amt,16898.0,91.78,15510.0,21,2001,Allerød,Allerød,Allerød
Farum,k400207.htm,Frederiksborg Amt,13797.0,88.23,12174.0,19,2001,Farum,Farum,Furesø
Birkerød,k400205.htm,Frederiksborg Amt,16265.0,88.18,14344.0,17,2001,Birkerød,Birkerød,Rudersdal
Hørsholm,k400223.htm,Frederiksborg Amt,18668.0,88.87,16592.0,15,2001,Hørsholm,Hørsholm,Hørsholm
Karlebo,k400227.htm,Frederiksborg Amt,14331.0,85.87,12307.0,17,2001,Karlebo,Karlebo,Fredensborg
Fredensborg-Humlebæk,k400208.htm,Frederiksborg Amt,14943.0,88.24,13187.0,19,2001,Fredensborg-Humlebæk,Fredensborg-Humlebæk,Fredensborg
Helsingør,k400217.htm,Frederiksborg Amt,46894.0,83.72,39262.0,25,2001,Helsingør,Helsingør,Helsingør
Græsted-Gilleleje,k400213.htm,Frederiksborg Amt,16010.0,87.43,13999.0,19,2001,Græsted-Gilleleje,Græsted-Gilleleje,Gribskov
Helsinge,k400215.htm,Frederiksborg Amt,14455.0,88.43,12783.0,17,2001,Helsinge,Helsinge,Gribskov
Hillerød,k400219.htm,Frederiksborg Amt,27979.0,87.71,24542.0,21,2001,Hillerød,Hillerød,Hillerød
Skævinge,k400231.htm,Frederiksborg Amt,4119.0,90.14,3713.0,11,2001,Skævinge,Skævinge,Hillerød
Frederiksværk,k400211.htm,Frederiksborg Amt,15897.0,83.44,13266.0,15,2001,Frederiksværk,Frederiksværk,Frederiksværk-Hundested
Hundested,k400221.htm,Frederiksborg Amt,7530.0,85.88,6467.0,11,2001,Hundested,Hundested,Frederiksværk-Hundested
Jægerspris,k400225.htm,Frederiksborg Amt,7287.0,88.14,6423.0,15,2001,Jægerspris,Jægerspris,Frederikssund
Skibby,k400229.htm,Frederiksborg Amt,5055.0,88.52,4475.0,13,2001,Skibby,Skibby,Frederikssund
Vallø,k401271.htm,Roskilde Amt,8021.0,90.67,7273.0,15,2001,Vallø,Vallø,Stevns
Køge,k401259.htm,Roskilde Amt,30204.0,86.74,26201.0,21,2001,Køge,Køge,Køge
Skovbo,k401267.htm,Roskilde Amt,10319.0,90.4,9329.0,17,2001,Skovbo,Skovbo,Køge
Solrød,k401269.htm,Roskilde Amt,15132.0,90.04,13626.0,15,2001,Solrød,Solrød,Solrød
Greve,k401253.htm,Roskilde Amt,36249.0,87.69,31787.0,21,2001,Greve,Greve,Greve
Ramsø,k401263.htm,Roskilde Amt,6779.0,92.37,6262.0,15,2001,Ramsø,Ramsø,Roskilde
Hvalsø,k401257.htm,Roskilde Amt,5602.0,90.94,5095.0,13,2001,Hvalsø,Hvalsø,Lejre
Lejre,k401261.htm,Roskilde Amt,6523.0,92.33,6023.0,15,2001,Lejre,Lejre,Lejre
Roskilde,k401265.htm,Roskilde Amt,41765.0,86.78,36245.0,25,2001,Roskilde,Roskilde,Roskilde
Gundsø,k401255.htm,Roskilde Amt,11283.0,92.05,10387.0,15,2001,Gundsø,Gundsø,Roskilde
Bramsnæs,k401251.htm,Roskilde Amt,7082.0,90.73,6426.0,15,2001,Bramsnæs,Bramsnæs,Lejre
Nykøbing F.,k421369.htm,Storstrøms Amt,20437.0,84.99,17370.0,21,2001,Nykøbing F,Nykøbing F,Guldborgsund
Langebæk,k421361.htm,Storstrøms Amt,4846.0,89.84,4354.0,15,2001,Langebæk,Langebæk,Vordingborg
Præstø,k421377.htm,Storstrøms Amt,5742.0,86.78,4983.0,15,2001,Præstø,Præstø,Vordingborg
Vordingborg,k421397.htm,Storstrøms Amt,15956.0,85.94,13714.0,19,2001,Vordingborg,Vordingborg,Vordingborg
Fladså,k421353.htm,Storstrøms Amt,5606.0,88.15,4942.0,15,2001,Fladså,Fladså,Næstved
Stevns,k421389.htm,Storstrøms Amt,8660.0,88.32,7649.0,17,2001,Stevns,Stevns,Stevns
Fakse,k421351.htm,Storstrøms Amt,9551.0,85.56,8172.0,17,2001,Fakse,Fakse,Faxe
Rønnede,k421385.htm,Storstrøms Amt,5279.0,89.86,4744.0,15,2001,Rønnede,Rønnede,Faxe
Holmegaard,k421357.htm,Storstrøms Amt,5251.0,90.03,4728.0,13,2001,Holmegaard,Holmegård,Næstved
Suså,k421393.htm,Storstrøms Amt,6164.0,88.46,5453.0,15,2001,Suså,Suså,Næstved
Næstved,k421373.htm,Storstrøms Amt,37313.0,84.36,31479.0,21,2001,Næstved,Næstved,Næstved
Møn,k421365.htm,Storstrøms Amt,9274.0,87.39,8105.0,17,2001,Møn,Møn,Vordingborg
Stubbekøbing,k421391.htm,Storstrøms Amt,5384.0,87.92,4734.0,11,2001,Stubbekøbing,Stubbekøbing,Guldborgsund
Nørre Alslev,k421375.htm,Storstrøms Amt,7458.0,86.8,6474.0,17,2001,Nørre Alslev,Nørre Alslev,Guldborgsund
Sakskøbing,k421387.htm,Storstrøms Amt,7408.0,85.01,6298.0,17,2001,Sakskøbing,Sakskøbing,Guldborgsund
Nysted,k421371.htm,Storstrøms Amt,4368.0,88.36,3860.0,15,2001,Nysted,Nysted,Guldborgsund
Holeby,k421355.htm,Storstrøms Amt,3289.0,88.41,2908.0,13,2001,Holeby,Holeby,Lolland
Maribo,k421363.htm,Storstrøms Amt,8851.0,86.05,7617.0,21,2001,Maribo,Maribo,Lolland
Højreby,k421359.htm,Storstrøms Amt,3252.0,86.53,2814.0,13,2001,Højreby,Højreby,Lolland
Rødby,k421383.htm,Storstrøms Amt,5309.0,85.32,4530.0,15,2001,Rødby,Rødby,Lolland
Rudbjerg,k421381.htm,Storstrøms Amt,2854.0,86.29,2463.0,13,2001,Rudbjerg,Rudbjerg,Lolland
Ravnsborg,k421379.htm,Storstrøms Amt,4563.0,84.98,3878.0,13,2001,Ravnsborg,Ravnsborg,Lolland
Nakskov,k421367.htm,Storstrøms Amt,12184.0,83.52,10177.0,19,2001,Nakskov,Nakskov,Lolland
Haslev,k405313.htm,Vestsjællands Amt,10940.0,87.11,9530.0,15,2001,Haslev,Haslev,Faxe
Fuglebjerg,k405307.htm,Vestsjællands Amt,4859.0,85.59,4159.0,15,2001,Fuglebjerg,Fuglebjerg,Næstved
Hashøj,k405311.htm,Vestsjællands Amt,4898.0,88.7,4345.0,15,2001,Hashøj,Hashøj,Slagelse
Skælskør,k405331.htm,Vestsjællands Amt,8996.0,86.4,7773.0,15,2001,Skælskør,Skælskør,Slagelse
Korsør,k405325.htm,Vestsjællands Amt,15997.0,84.79,13565.0,17,2001,Korsør,Korsør,Slagelse
Ringsted,k405329.htm,Vestsjællands Amt,22923.0,85.22,19535.0,21,2001,Ringsted,Ringsted,Ringsted
