name,href,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year,merged,merged_municipalities
Dragør,k84982155.htm,10355,7524,7524,15,2009,False,[]
Tårnby,k84982185.htm,31364,19031,19031,19,2009,False,[]
Frederiksberg,k84982147.htm,78915,50686,50686,25,2009,False,[]
København,k84982101.htm,427940,232906,232906,55,2009,False,[]
Glostrup,k84982161.htm,16828,10198,10198,19,2009,False,[]
Hvidovre,k84982167.htm,38222,22442,22442,21,2009,False,[]
Rødovre,k84982175.htm,28210,17041,17041,19,2009,False,[]
Brøndby,k84982153.htm,26221,15252,15252,19,2009,False,[]
Vallensbæk,k84982187.htm,10450,7314,7314,15,2009,False,[]
Albertslund,k84982165.htm,20702,12554,12554,21,2009,False,[]
Ishøj,k84982183.htm,15478,9328,9328,19,2009,False,[]
Høje-Tåstrup,k84982169.htm,36094,23273,23273,21,2009,False,[]
Egedal,k84982240.htm,30189,22248,22248,21,2009,False,[]
Ballerup,k84982151.htm,36540,23425,23425,25,2009,False,[]
Herlev,k84982163.htm,20603,13105,13105,19,2009,False,[]
Gladsaxe,k84982159.htm,48609,30490,30490,25,2009,False,[]
Gentofte,k84982157.htm,52776,34975,34975,19,2009,False,[]
Lyngby-Tårbæk,k84982173.htm,40361,27523,27523,21,2009,False,[]
Furesø,k84982190.htm,28239,21120,21120,21,2009,False,[]
Rudersdal,k84982230.htm,40555,28815,28815,23,2009,False,[]
Hørsholm,k84982223.htm,18566,13367,13367,19,2009,False,[]
Allerød,k84982201.htm,17501,13403,13403,21,2009,False,[]
Bornholm,k84982400.htm,33754,24339,24339,27,2009,False,[]
Greve,k84979253.htm,35997,24133,24133,21,2009,False,[]
Solrød,k84979269.htm,15500,10544,10544,19,2009,False,[]
Roskilde,k84979265.htm,62436,42270,42270,31,2009,False,[]
Frederikssund,k84982250.htm,33639,22582,22582,23,2009,False,[]
Hillerød,k84982219.htm,35248,25110,25110,27,2009,False,[]
Halsnæs,k84982260.htm,24296,15670,15670,21,2009,False,[]
Gribskov,k84982270.htm,31417,21725,21725,23,2009,False,[]
Fredensborg,k84982210.htm,29415,19942,19942,27,2009,False,[]
Helsingør,k84982217.htm,47024,31682,31682,25,2009,False,[]
Odsherred,k84979306.htm,26514,18190,18190,25,2009,False,[]
Lejre,k84979350.htm,20042,14470,14470,25,2009,False,[]
Kalundborg,k84979326.htm,38119,24707,24707,31,2009,False,[]
Holbæk,k84979316.htm,52919,35301,35301,31,2009,False,[]
Sorø,k84979340.htm,22413,15278,15278,25,2009,False,[]
Ringsted,k84979329.htm,24735,16206,16206,21,2009,False,[]
Køge,k84979259.htm,42918,29605,29605,27,2009,False,[]
Stevns,k84979336.htm,17105,12140,12140,19,2009,False,[]
Faxe,k84979320.htm,27074,18290,18290,27,2009,False,[]
Næstved,k84979370.htm,62706,40456,40456,31,2009,False,[]
Slagelse,k84979330.htm,60271,38982,38982,31,2009,False,[]
